Title_GEO,Title_ENG,Year,Image_URL
ადამიანის რისხვა,Wrath of Man,2021,https://geo.saitebi.ge/web/ka/img/movies/8244/180x265/Wrath%of%Man.jpg
სასიკვდილო ბრძოლა,Mortal Kombat,2021,https://geo.saitebi.ge/web/ka/img/movies/8241/180x265/Mortal%Kombat.jpg
თაღლითობა მაიამიში,Wasp Network,2019,https://geo.saitebi.ge/web/ka/img/movies/8246/180x265/Wasp%Network.jpg
მოუთვინიერებელი სული (სპირიტი 2),Spirit Untamed,2021,https://geo.saitebi.ge/web/ka/img/movies/8238/180x265/Spirit%Untamed.jpg
ოცნების ცხენი,Dream Horse,2021,https://geo.saitebi.ge/web/ka/img/movies/8245/180x265/Dream%Horse.jpg
შიშის ქუჩა. ნაწილი 2: 1978,Fear Street Part Two: 1978,2021,https://geo.saitebi.ge/web/ka/img/movies/8243/180x265/Fear%Street%Part%Two:%1978.jpg
ტომი და ჯერი,Tom & Jerry,2021,https://geo.saitebi.ge/web/ka/img/movies/8236/180x265/Tom%&%Jerry.jpg
ზეროვილი,Zeroville,2019,https://geo.saitebi.ge/web/ka/img/movies/8242/180x265/Zeroville.jpg
კატების გაქცევა,Cats and Peachtopia,2018,https://geo.saitebi.ge/web/ka/img/movies/8240/180x265/Cats%and%Peachtopia.jpg
მე რომ მამაკაცი ვიყო,If I were a boy (Si j'étais un homme),2017,https://geo.saitebi.ge/web/ka/img/movies/8237/180x265/If%I%were%a%boy%(Si%j'étais%un%homme).jpg
მძიმე მკვლელობა,Hard Kill,2020,https://geo.saitebi.ge/web/ka/img/movies/8239/180x265/Hard%Kill.jpg
სანამ სიკვდილი დაგვაშორებს,Till Death,2021,https://geo.saitebi.ge/web/ka/img/movies/8230/180x265/Till%Death.jpg
რაია და უკანასკნელი დრაკონი,Raya and the Last Dragon,2021,https://geo.saitebi.ge/web/ka/img/movies/8207/180x265/Raya%and%the%Last%Dragon.jpg
ვარსკვლავი,The Star,2017,https://geo.saitebi.ge/web/ka/img/movies/8235/180x265/The%Star.jpg
პალმერი,Palmer,2021,https://geo.saitebi.ge/web/ka/img/movies/8233/180x265/Palmer.jpg
თამაში დასწრებაზე,Playing for Keeps,2012,https://geo.saitebi.ge/web/ka/img/movies/8234/180x265/Playing%for%Keeps.jpg
პრინციპი,Tenet,2020,https://geo.saitebi.ge/web/ka/img/movies/8218/180x265/Tenet.jpg
ქაოსში მოსიარულე,Chaos Walking,2021,https://geo.saitebi.ge/web/ka/img/movies/8219/180x265/Chaos%Walking.jpg
სნაიპერი: მემკვიდრეობა,Sniper: Legacy,2014,https://geo.saitebi.ge/web/ka/img/movies/8232/180x265/Sniper:%Legacy.jpg
ყველაფერი კარგადაა,New Biz in the Hood (Jusqu'ici tout va bien),2019,https://geo.saitebi.ge/web/ka/img/movies/8231/180x265/New%Biz%in%the%Hood%(Jusqu'ici%tout%va%bien).jpg
მე შენი ქალი ვარ,I'm Your Woman,2020,https://geo.saitebi.ge/web/ka/img/movies/8222/180x265/I'm%Your%Woman.jpg
ძვლების მემკვიდრეობა,The Legacy of the Bones (Legado en los huesos),2019,https://geo.saitebi.ge/web/ka/img/movies/8223/180x265/The%Legacy%of%the%Bones%(Legado%en%los%huesos).jpg
მომავლის ომი,The Tomorrow War,2021,https://geo.saitebi.ge/web/ka/img/movies/8197/180x265/The%Tomorrow%War.jpg
ბავშვებისთვის შეუფერებელი,Not Suitable For Children,2012,https://geo.saitebi.ge/web/ka/img/movies/8229/180x265/Not%Suitable%For%Children.jpg
"ძვირფასო, მე ბავშვები დავაპატარავე","Honey, I Shrunk the Kids",1989,"https://geo.saitebi.ge/web/ka/img/movies/8227/180x265/Honey,%I%Shrunk%the%Kids.jpg"
ფლორა და ულისე,Flora & Ulysses,2021,https://geo.saitebi.ge/web/ka/img/movies/8220/180x265/Flora%&%Ulysses.jpg
ჰოთ-დოგი,Hot Dog,2018,https://geo.saitebi.ge/web/ka/img/movies/8212/180x265/Hot%Dog.jpg
ავა,Ava,2020,https://geo.saitebi.ge/web/ka/img/movies/8196/180x265/Ava.jpg
არასწორი ბაბუა,The War with Grandpa,2020,https://geo.saitebi.ge/web/ka/img/movies/8195/180x265/The%War%with%Grandpa.jpg
იურული პერიოდის თავდასხმა,Jurassic Attack,2012,https://geo.saitebi.ge/web/ka/img/movies/8217/180x265/Jurassic%Attack.jpg
ბანკირი,The Banker,2020,https://geo.saitebi.ge/web/ka/img/movies/8226/180x265/The%Banker.jpg
ერთხელ ლონდონში,Once Upon a Time in London,2019,https://geo.saitebi.ge/web/ka/img/movies/8224/180x265/Once%Upon%a%Time%in%London.jpg
შეუმჩნეველი წასვლა,French Exit,2021,https://geo.saitebi.ge/web/ka/img/movies/8221/180x265/French%Exit.jpg
"მიიღე ბურთი, გადაეცი ბურთი","Take the Ball, Pass the Ball",2018,"https://geo.saitebi.ge/web/ka/img/movies/8225/180x265/Take%the%Ball,%Pass%the%Ball.jpg"
ყველაფერი იწყება დასასრულით,It Begins with the End (Ça commence par la fin),2010,https://geo.saitebi.ge/web/ka/img/movies/8228/180x265/It%Begins%with%the%End%(Ça%commence%par%la%fin).jpg
ოთხი ბანკის წინააღმდეგ,Four Against the Bank (Vier gegen die Bank),2016,https://geo.saitebi.ge/web/ka/img/movies/8209/180x265/Four%Against%the%Bank%(Vier%gegen%die%Bank).jpg
განქორწინება ფრანგულად,L'Ex de ma vie,2014,https://geo.saitebi.ge/web/ka/img/movies/8214/180x265/L'Ex%de%ma%vie.jpg
ალექს ქროსი,Alex Cross,2012,https://geo.saitebi.ge/web/ka/img/movies/8202/180x265/Alex%Cross.jpg
ანარქისტები,Les Anarchistes,2015,https://geo.saitebi.ge/web/ka/img/movies/8213/180x265/Les%Anarchistes.jpg
ბატონი ფელიჩიტა,Mister Happiness (Mister Felicità),2017,https://geo.saitebi.ge/web/ka/img/movies/8216/180x265/Mister%Happiness%(Mister%Felicità).jpg
საზეიმო ფინალი,Grand Piano,2013,https://geo.saitebi.ge/web/ka/img/movies/8211/180x265/Grand%Piano.jpg
პატარა მკვლელობა,Little Murder,2011,https://geo.saitebi.ge/web/ka/img/movies/8215/180x265/Little%Murder.jpg
მამობა,Fatherhood,2021,https://geo.saitebi.ge/web/ka/img/movies/8199/180x265/Fatherhood.jpg
ბეკი,Becky,2020,https://geo.saitebi.ge/web/ka/img/movies/8203/180x265/Becky.jpg
შიშის ქუჩა ნაწილი პირველი: 1994,Fear Street Part One: 1994,2021,https://geo.saitebi.ge/web/ka/img/movies/8198/180x265/Fear%Street%Part%One:%1994.jpg
ნახევარკუნძული (მატარებელი ბუსანში 2),Train to Busan Presents: Peninsula (Peninsula),2020,https://geo.saitebi.ge/web/ka/img/movies/8176/180x265/Train%to%Busan%Presents:%Peninsula%(Peninsula).jpg
განხეთქილება,Fractured,2013,https://geo.saitebi.ge/web/ka/img/movies/8210/180x265/Fractured.jpg
ოცნებების ქარხანა,Dreamfactory (Traumfabrik),2019,https://geo.saitebi.ge/web/ka/img/movies/8205/180x265/Dreamfactory%(Traumfabrik).jpg
სისხლმდინარე გული,Bleeding Heart,2015,https://geo.saitebi.ge/web/ka/img/movies/8204/180x265/Bleeding%Heart.jpg
ქორწილი შემდეგ,After the Wedding,2019,https://geo.saitebi.ge/web/ka/img/movies/8200/180x265/After%the%Wedding.jpg
ერთად ერთად,Together Together,2021,https://geo.saitebi.ge/web/ka/img/movies/8201/180x265/Together%Together.jpg
ყინულის გზა,The Ice Road,2021,https://geo.saitebi.ge/web/ka/img/movies/8177/180x265/The%Ice%Road.jpg
"ისინი, ვისაც ჩემი სიკვდილი სურს",Those Who Wish Me Dead,2021,https://geo.saitebi.ge/web/ka/img/movies/8190/180x265/Those%Who%Wish%Me%Dead.jpg
სკოლის გაცდენა სამუდამოდ,School's Out Forever,2021,https://geo.saitebi.ge/web/ka/img/movies/8188/180x265/School's%Out%Forever.jpg
კოსმოსური ცოდვა,Cosmic Sin,2021,https://geo.saitebi.ge/web/ka/img/movies/8180/180x265/Cosmic%Sin.jpg
ადრესატი: ჯერარდი,To: Gerard,2020,https://geo.saitebi.ge/web/ka/img/movies/8191/180x265/To:%Gerard.jpg
ვოიაჟერები,Voyagers,2021,https://geo.saitebi.ge/web/ka/img/movies/8169/180x265/Voyagers.jpg
ედმონდი,"Cyrano, My Love (Edmond)",2019,"https://geo.saitebi.ge/web/ka/img/movies/8208/180x265/Cyrano,%My%Love%(Edmond).jpg"
რწმენის შეთქმულება,Department Q: A Conspiracy of Faith (Flaskepost fra P),2016,https://geo.saitebi.ge/web/ka/img/movies/8181/180x265/Department%Q:%A%Conspiracy%of%Faith%(Flaskepost%fra%P).jpg
ნატვრის დრაკონი,Wish Dragon,2021,https://geo.saitebi.ge/web/ka/img/movies/8170/180x265/Wish%Dragon.jpg
არავინ,Nobody,2021,https://geo.saitebi.ge/web/ka/img/movies/8154/180x265/Nobody.jpg
ნაზას ხელმეორედ დაბადება,New Gods: Nezha Reborn,2021,https://geo.saitebi.ge/web/ka/img/movies/8150/180x265/New%Gods:%Nezha%Reborn.jpg
ბალტიმორის მეფეები,Charm City Kings,2020,https://geo.saitebi.ge/web/ka/img/movies/8178/180x265/Charm%City%Kings.jpg
ჭექა-ქუხილის ძალა,Thunder Force,2021,https://geo.saitebi.ge/web/ka/img/movies/8167/180x265/Thunder%Force.jpg
კურიერი,The Courier,2021,https://geo.saitebi.ge/web/ka/img/movies/8189/180x265/The%Courier.jpg
შურისძიების სიწმინდე,Journal 64,2018,https://geo.saitebi.ge/web/ka/img/movies/8183/180x265/Journal%64.jpg
მეორე შანსი,Second Chance (İkinci Şans),2016,https://geo.saitebi.ge/web/ka/img/movies/8182/180x265/Second%Chance%(İkinci%Şans).jpg
შეყვარებული მილიონერი,Ricos de Amor,2020,https://geo.saitebi.ge/web/ka/img/movies/8187/180x265/Ricos%de%Amor.jpg
2 გული,2 Hearts,2020,https://geo.saitebi.ge/web/ka/img/movies/8171/180x265/2%Hearts.jpg
ფხიზელი,Awake,2021,https://geo.saitebi.ge/web/ka/img/movies/8175/180x265/Awake.jpg
ოჯახი,Family,2019,https://geo.saitebi.ge/web/ka/img/movies/8194/180x265/Family.jpg
დამიჯერე: ლიზა მაქვეის გატაცება,Believe Me: The Abduction of Lisa McVey,2018,https://geo.saitebi.ge/web/ka/img/movies/8192/180x265/Believe%Me:%The%Abduction%of%Lisa%McVey.jpg
ნუთუ ეს არის სიყვარული,Ask Bu Mu? (Aşk Bu Mu?),2018,https://geo.saitebi.ge/web/ka/img/movies/8174/180x265/Ask%Bu%Mu?%(Aşk%Bu%Mu?).jpg
სხვა მხარე,The Hidden Face (Öteki Taraf),2017,https://geo.saitebi.ge/web/ka/img/movies/8186/180x265/The%Hidden%Face%(Öteki%Taraf).jpg
